"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2004-03-15 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","2355-01-590-1660","MINE RESISTANT VEHICLE",1,"Each",733000,"C",1,2014-04-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","2320-01-371-9584","TRUCK,UTILITY",1,"Each",62627,"C",1,2013-01-31 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2004-03-15 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-06-25 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-06-25 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2004-03-15 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,1994-10-31 12:00:00,"State"
"MD","WICOMICO COUNTY SHERIFF OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-10-21 12:00:00,"State"
