"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-06-25 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-06-25 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-06-25 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2003-06-25 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2002-09-05 12:00:00,"State"
"MD","QUEEN ANNES COUNTY SHERIFFS OFFICE","1005-00-921-5483","SHOTGUN,12 GAGE,RIOT TYPE",1,"Each",108,"D",1,1999-01-28 12:00:00,"State"
