"state","agency_name","nsn","item_name","quantity","ui","acquisition_value","demil_code","demil_ic","ship_date","station_type"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-01-06 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-01-06 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-12-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-01-06 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-01-06 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-01-06 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-589-1271","RIFLE,7.62 MILLIMETER",1,"Each",138,"D",1,2001-05-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-01-06 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2005-01-06 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2004-12-29 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
"MD","CARROLL COUNTY SHERIFF DEPT","1005-00-073-9421","RIFLE,5.56 MILLIMETER",1,"Each",499,"D",1,2012-03-07 12:00:00,"State"
